,Unnamed: 0,Unnamed: 0.1,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Lat,Lon,Year
3545,3545,3545,03/28/1985,09:50,"Near Florencia, Colombia",SATENA,,Bogota - San Vicente del Caguán - Florencia,Fokker F-28 Fellowship 3000,FAC-1140,11165,46.0,46.0,0.0,The domestiflight crashed into a mountain while attempting to land at Florencia in rain and fog.,1.615867,-75.614305,1985
3548,3548,3548,04/15/1985,23:30,"Near Phuket, Thailand",Thai Airways,,,Boeing B-737-200,HS-TBB,21810/604,11.0,11.0,0.0,The aircraft hit high ground during good weather conditions and after transmitting an emergency message that they had lost both engines.,7.887994,98.391874,1985
3549,3549,3549,04/16/1985,11:37,"Las Cruces, New Mexico",American Airlines,,"Dallas, TX - San Diego, CA",Boeing B-727-227,N718AA,20611/894,89.0,0.0,0.0,While cruising at FL 350 a loud noise was heard followed by a severe jolt. The No. 3 engine separated from the aircraft. A damaged O ring allowed leakage from the forward lavatory waste drain valve. Four gallons of fluid leaked and froze on the exterior of the plane and then broke away in chunks and smashed into the engine. They plane landed safely.,32.314035,-106.779808,1985
3554,3554,3554,05/06/1985,12:50,"Off Tanegashima, Japan",Military - U.S. Marine Corps,,"Iwakuni - Fulemma, Okinawa",CH-53D,,,17.0,17.0,0.0,The helicopter crashed into the East China Sea.,38.927405,139.837188,1985
3556,3556,3556,05/16/1985,13:45,"Golovin, Alaska",Air Taxi,,"Golovin, AK - Elim, AK",Cessna C-207A,N73635,,5.0,2.0,0.0,"According to the pilot-in-command, he was attempting to fly through a mountain saddle. As he turned towards the mountain and began his climb the weather deteriorated rapidly with ceilings zero, visibility zero and severe turbulence. The airplane struck the side of a 1,707 foot high mountain at the 1,590 foot level on a magnetiheading of 015 degrees. The pilot-in-command stated that just prior to impact he could not see anything. Continued VFR flight into IMC. Poor judgement. Improper planning.",64.543333,-163.029167,1985
3562,3562,3562,06/23/1985,07:15,"AtlantiOcean, 110 miles West of Ireland",Air India,182,Montreal - London,Boeing B-747-237B,VT-EFO,21473/330,329.0,329.0,0.0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named 'Kanishka.'",53.0,-8.0,1985
3564,3564,3564,07/10/1985,23:45,"Near Uchuduk, Uzbekistan, USSR",Aeroflot,7425,Karshi - Leningrad,Tupolev TU-154B-2,CCCP-85311,311,200.0,200.0,0.0,The aircraft went into an uncontrolled descent from FL 400 and crashed.,,,1985
3567,3567,3567,08/02/1985,18:06,"Ft. Worth-Dallas, Texas",Delta Air Lines,191,Fort Lauderdale - Dallas-Fort Worth,Lockheed L-1011-1 TriStar,N726DA,1163,163.0,134.0,1.0,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear.",32.581803,-96.975838,1985
3568,3568,3568,08/12/1985,18:56,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,123,Tokyo - Osaka,Boeing B-747-SR46,JA8119,20783/230,524.0,520.0,0.0,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song 'Sukiyaki' was killed in the accident.",,,1985
3576,3576,3576,09/04/1985,11:00,"Near Kandahar, Afghanistan",Ariana Afghan Airlines,,Kandahar - Farah,Antonov AN-26,YA-BAM,57314106,52.0,52.0,0.0,Shot down by rebels with a ground-to-air missile while flying at FL130.,31.620574,65.715757,1985
3586,3586,3586,10/11/1985,10:09,"Near Kutayissi, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87803,9230923,14.0,14.0,0.0,Crashed into a mountain slope after taking off in bad weather. Instructions to climb normally were delayed because of traffic.,,,1985
3594,3594,3594,11/24/1985,20:15,"Luqa, Malta",EgyptAir,648,Athens - Cairo,Boeing B-737-266,SU-AYH,21191/450,103.0,60.0,0.0,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire.",35.859653,14.489291,1985
3598,3598,3598,12/31/1985,17:14,"De Kalb, Texas",Private,,Guntersville - Dallas/Ft. Worth,Douglas DC-3,N711Y,13658,9.0,7.0,0.0,"The plane crash landed into a field and struck a pole then continued into trees after dense smoke filled the plane and cockpit. The fire most likely started in a defective cabin heater but was not determined for sure. Singer Rick Nelson, 45, fiancée Helen Blair, 27, soundman Clark Russell and the members of his back-up group The Stone Canyon Band, Andy Chapin, 20, Rick Intveld, 22, Bobby Neal, 38, and Patrick Woodward, 35 were killed. Both pilots survived after climbing out the cockpit windows. Nelson had purchased the DC-3 in May 1985 from Jerry Lee Lewis and the craft had been forced to make two emergency landings in the previous six months. Nelson and his band were en route to perform at the half-time festivities at the Cotton Bowl.",33.508726,-94.616319,1985
3600,3600,3600,01/21/1986,04:25,"Ellendale, Minnesota",Air Taxi,,,Bell 296B,N1498W,425,3.0,3.0,0.0,"The purpose of the flight was to take a news crew to a location to cover a story. The news crew had attempted to hire another helicopter, but that operator refused due to forecast low visibility. This pilot, however, agreed to fly. Although he was certified for instrument flight in airplanes, the pilot was not qualified for instrument flight in helicopters, nor was the helicopter certified for instrument flight. The helicopter crashed & burned approximately 100' from the highway near a power line crossing. Impact occurred while the helicopter was in a shallow descent, heading away from the highway & parallel with the power line. Continued VFR flight into IMC. Overconfidence in personal ability.",43.872738,-93.301321,1986
3601,3601,3601,01/28/1986,07:45,"Sao Paulo, Brazil",VASP,,Sao Paulo - Belo Horizonte,Boeing B-737-2A1,PP-SME,20096/190,72.0,1.0,0.0,The crew accidently tried to take off from a taxiway. The takeoff was aborted but the aircraft overran the runway and collided with a embankment and broke in two. There was heavy fog in the area.,-23.550651,-46.633382,1986
3605,3605,3605,03/02/1986,03:03,"Near Bugulma, Russia",Aeroflot,,,Antonov AN-24B,CCCP-46423,07304108,38.0,38.0,0.0,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.",54.538415,52.795595,1986
3625,3625,3625,06/12/1986,15:22,"Port Ellen, Islay Island",Loganair,423,Glasgow - Port Ellen,de Havilland Canada DHC-6 Twin Otter 300,G-BGPC,635,16.0,1.0,0.0,The crew mistook Laphroaig for Port Ellen and crashed into a hill. Decision to allow the handling pilot to carry out a visual approach in unsuitable meteorological conditions. An error in visual navigation was a contributory factor.,45.1501,-79.99967,1986
3628,3628,3628,06/22/1986,21:35,"Penza,  Russia",Aeroflot,,Penza - Simferopol,Tupolev TU-134A,CCCP-65142,60955,59.0,1.0,0.0,The aircraft overan the runway after an aborted takeoff. Passenger died of heart attack.,53.200001,45.0,1986
3629,3629,3629,07/02/1986,10:27,"Near Syktyvar, Russia",Aeroflot,,,Tupolev TU-134A,CCCP-65120,60482,94.0,54.0,0.0,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,,,1986
3631,3631,3631,07/26/1986,17:45,"Yosemite Nation, California",Air Taxi,,"San Andreas, CA - Death Valley, CA",Piper PA-32-260,N3643W,32186,6.0,3.0,0.0,The aircraft struck a boulder as the aircraft climbed up a five degree upsloping ridge then nosed into the ground and burst into flames. Pilot disregarded performance data. Overconfidence in aircraft's ability.,37.699117,-119.755015,1986
3635,3635,3635,08/21/1986,10:15,"Frenchglen, Oregon",Air Taxi,,"McDermitt, OR - Burns, OR",Cessna T207A,N73569,20700603,6.0,6.0,0.0,During the pilot's attempt to reverse direction at the end of the gorge the aircraft stalled and a loss of control followed. A stall/spin maneuver resulted placing the aircraft in an uncontrolled descent into the terrain. Improper inflight planning/decision. Airspeed not maintained.,42.826949,-118.914238,1986
3640,3640,3640,09/05/1986,06:00,"Karachi, Pakistan",Pan American World Airways,73,Bombay-Karachi-Frankfurt-New York,Boeing B-747-121,N656PA,20351/127,384.0,16.0,1.0,"While on the ground, four hijackers opened fire on the passengers and crew and threw grenades among them, killing 16 passengers, one crew member and one ground crew memeber. The aircraft was named Clipper Empress of the Seas.",24.854684,67.020706,1986
3651,3651,3651,10/20/1986,15:50,"Kuybyshev, Russia",Aeroflot,,Yekaterinburg - Kuybyshev,Tupolev TU-134A,CCCP-65766,62327,92.0,70.0,0.0,The plane crashed and burst into flames after a straight-in hard landing without leveling off.,55.445426,78.322229,1986
3653,3653,3653,10/23/1986,20:49,"Near Peshawar, Pakistan",Pakistan International Airlines,,Lahore - Peshawar,Fokker F-27 Friendship 600,AP-AUX,10335,54.0,13.0,0.0,"Crashed short of the runway on approach, broke up and landed inverted. Crew error. The aircraft was allowed to descent below MDA. Crew did not properly monitor the altitude.",33.973913,71.748324,1986
3654,3654,3654,10/30/1986,17:00,"Near Managua, Nicaragua",Military - Nicaraguan Air Force,,,Mil Mi-17 (helicopter),294,,23.0,21.0,0.0,"Either mechanical failure, weather or ground fire from Contra rebels brought the helicopter down.",12.145991,-86.274666,1986
3655,3655,3655,11/02/1986,19:25,"Near Zahedan, Iran",Military - Iranian Air Force,,Bakhtaran - Zahedan,Lockheed C-130,,,103.0,103.0,0.0,Struck the side of a mountain near the Pakistani border. Crew error. Descent below minimum safe altitude with a defective altimeter and in spite of warnings from the ATC.,29.492887,60.850302,1986
3671,3671,3671,02/09/1987,11:30,"Near Khost, Afghanistan",Military - Afghan Republican Air Force,,,Antonov AN-26,,,36.0,36.0,0.0,Shot down by a Stinger missile by Afghan guerillas.,33.33914,69.920636,1987
3674,3674,3674,03/06/1987,19:10,"Near Almaty, Kazakhstan",Aeroflot,,,Antonov An-26,CCCP-26007,9901,9.0,9.0,0.0,The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.,43.236392,76.945728,1987
3678,3678,3678,03/30/1987,11:00,"Near Parachinar, Pakistan",Military - Afghan Republican Air Force,,,Antonov AN-26,,,40.0,40.0,0.0,Shot down by a Pakistani F-16 jet fighter firing an air-to-air missile.,33.896794,70.100056,1987
3679,3679,3679,04/01/1987,21:30,"Anchorage, Alaska",Air Taxi,,Local Flight,Cessna 402,N967JW,4020067,2.0,2.0,0.0,The aircraft was on the last leg of a commuter flight when it crashed in a heavily wooded area while making a VFR approach to Merrill Field. The plane struck the ground in a near vertical attitude. Fuel starvation. Auxiliary tank had fuel but the engines could not be restarted from those tanks.,61.216313,-149.894852,1987
3681,3681,3681,04/04/1987,14:40,"Medan-Polonia, Indonesia",Garuda Indonesia Airlines,035,Banda Aceh - Medan,McDonnell Douglas DC-9-32,PK-GNQ,47741/836,45.0,27.0,0.0,The aircraft crashed on approach during heavy rain after hitting an antenna. Windshear.,3.563103,98.674664,1987
3685,3685,3685,10/04/1988,23:00,"Near Batagay, Russia",Aeroflot,,Tikis - Batagay,Antonov 12BP,CCCP-11418,401712,6.0,6.0,0.0,"The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.",67.654907,134.635071,1988
3686,3686,3686,05/08/1987,06:50,"Mayaguez, Puerto Rico",American Eagle,5452,"San Juan, PR - Mayaguez, PR",CASA 212 Aviocar 200,N432CA,271,6.0,2.0,0.0,Improper maintenance in setting propeller flight idle blade angle and engine fuel flow resulting in a loss of control from an asymmetripower condition. A factor contributing to the accident was the pilot's unstabilized visual approach.,18.201116,-67.139112,1987
3687,3687,3687,05/09/1987,11:12,"Warsaw, Poland",LOT Polish Airlines,5055,Warsaw - New York City,Ilyushin IL-62M,SP-LBG,3344942,183.0,183.0,0.0,"The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.",52.231958,21.006725,1987
3689,3689,3689,05/13/1987,07:20,"Sayre, Pennsylvania",Air Taxi,,"Sayre, PA - Washington, District of Colombia",Piper PA-32-300,N32774,327540064,3.0,2.0,0.0,"During initial climb after takeoff, smoke was observed in the cockpit. When the smoke became hvy, the plt decided to land. He attempted a forced landing on rising terrain in foggy conditions. Subsequently, the aircraft crashed into the side of the hill & began burning. Electrical short and arcing leading to fire.",41.978963,-76.515499,1987
3699,3699,3699,06/26/1987,11:03,"Near Baguio, Philippines",Philippine Air Lines,,Manila - Baguio,Hawker Siddeley HS-748-209 Srs. 2,RP-C1015,1637,50.0,50.0,0.0,The aircraft crashed into Mt. Ugu in monsoon rains and heavy fog while preparing to land at Baguio.,16.412007,120.593394,1987
3708,3708,3708,08/31/1987,15:36,"Off Ko Phuket, Thiland",Thai Airways,365,Hat Yai - Phuket,Boeing B-737-2P5,HS-TBC,22267/685,83.0,83.0,0.0,The aircraft stalled and crashed into the ocean after the crew's attention was diverted to concern over another aircraft. Failure of the crew to monitor their airspeed. The pilot added power and raised the gear after the stick shaker activated but did not execute a recovery before hitting the sea.,,,1987
3711,3711,3711,09/21/1987,09:05,"Luxor, Egypt",EgyptAir,,Training,Airbus A.300B4-203,SU-BCA,115,5.0,5.0,0.0,"The plane landed too far down the runway, overran the runway, struck runway lights went through a fence and broke up.",25.702096,32.647186,1987
3712,3712,3712,09/21/1987,21:10,"Hailey, Idaho",Air Taxi,,,Cessna T210L,N2545S,21061324,3.0,3.0,0.0,After a dark night takeoff the aircraft was observed to execute a immediate left turn up a canyon into rising terrain. The plane stalled and crashed. Pilot misjudged proper rate of climb. Airspeed not maintained.,43.519629,-114.315325,1987
3715,3715,3715,10/15/1987,18:28,"Mt. Crezzo, Italy",Aero Transporti Italiani,,Milan - Koln,Aerospatiale Alenia ATR-42-312,I-ATRH,046,37.0,37.0,0.0,"Shortly after taking off from Milan and passing through FL147, the aircraft nosed down and crashed into a mountain, in icing conditions. Icing of the wings.",45.899212,9.283226,1987
3720,3720,3720,11/15/1987,14:15,"Denver, Colorado",Continental Airlines,1713,"Denver, CO - Boise, ID",McDonnell Douglas DC-9-14,N626TX,45726/36,82.0,28.0,0.0,"During a snowstorm in Denver, the flight was delayed 27 minutes after de-icing. When the aircraft took off, the crew experienced a rapid rotation during takeoff, overturned and crashed. Icing. Failure of the captain to de-ice a second time.",39.739236,-104.984862,1987
3726,3726,3726,11/29/1987,11:30,Over the Andaman Sea,Korean Airlines,858,Abu Dhabi - Bangkok,Boeing B-707-3B5C,HL-7406,20522/855,115.0,115.0,0.0,"The plane crashed while on a flight from Abu Dhabi to Bangkok. Detonation of an explosive device in the passenger cabin left by two passengers who exited  the plane at Abu Dhabi. A 75 year old man and Korean woman were arrested as they tried to use fake passports to fly to Rome. While under guard, the man bit into a cyanide capsule and died. The woman, a North Korean agent, confessed to the crime.",10.0,95.0,1987
3732,3732,3732,12/14/1987,21:30,"Off Vila dos Remidos, Brazil",Military - Brazilian Air Force,,Recife - Fernando de Noronha,Lockheed C-130H,C-130-2468,,29.0,29.0,0.0,Crashed into the AtlantiOcean while en route for reasons unknown.,-10.0,-55.0,1987
3735,3735,3735,12/22/1987,20:57,"Chadron, Nebraska",Air Taxi,,"Alliance, AK - Chadron, NE",Cessna 402C,N105GP,402C0642,3.0,2.0,0.0,Became disoriented while en route and crashed into trees on a ridge. Improper IFR procedure. Proper alititude not maintained.,42.830981,-103.000373,1987
3742,3742,3742,01/18/1988,04:20,"Krosnovodsk, USSR",Aeroflot,,Moscow - Krosnovodsk,Tupolev TU 154B-2,CCCP-85254,77A254,143.0,11.0,0.0,Broke in two after a heavy landing. Crew error. Co-pilot was flying the plane against requirements that the pilot fly the plane.,,,1988
3743,3743,3743,01/24/1988,16:49,"Near Nizhnevartovsk, Russia",Aeroflot,,Nizhnevartovsk - Tyumen,Yakovlev YAK-40,CCCP-87549,9531442,31.0,27.0,0.0,"The plane stalled and crashed after a loss of engine power on takeoff. The engine throttles were reduced at  a critical stage of the takeoff for undetermined reasons, probably by the crew.",60.933941,76.581427,1988
3748,3748,3748,02/27/1988,06:09,"Surgut, Russia",Aeroflot,,Tyumen - Surgut,Tupolev TU-134A,CCCP-65675,1351501,51.0,20.0,0.0,"The aircraft made a hard landing beside the runway, broke up and caught fire. Crew error. Visual contact with the runway was lost as the aircraft descended through the decision height.",61.254032,73.3964,1988
3753,3753,3753,03/08/1988,21:45,"Near Clarksville, Tennessee",Military - U.S. Army,,,Sikorsky UH-60A / Sikorsky UH-60A,8524462/8724605,,17.0,17.0,0.0,The two helicopters collided in mid-air in the dark and crashed on the Fort Campbell military base. Pilot error.,36.527761,-87.35887,1988
3754,3754,3754,03/17/1988,13:17,"Near Cucuta, N of  Santander, Colombia",AVIANCA,410,Cucuta - Cartagena,Boeing B-727-21,HK-1716,18999/240,143.0,143.0,0.0,"The aircraft struck a mountain at 6,200 feet after taking off in mist and haze. The crew took off under VFR conditions during adverse weather conditions. Inappropriate presence of a non-crew pilot in the cockpit and his great talkativeness distracting part of the crew which resulted in carelessness and disorientation in monitoring the heading and altitude necessary to maneuver the plane. VFR flight into IFR conditions.",,,1988
3757,3757,3757,04/10/1988,15:10,"Near Mazâr-e Charif, Afghanistan",Military - Afghan Republican Air Force,,Maimana - Mazar,Antonov AN-26,,,29.0,29.0,0.0,Shot down by Afghan guerillas with an anti-aircraft missile.,36.709931,67.109214,1988
3760,3760,3760,04/19/1988,10:03,"Bagdarin, USSR",Aeroflot,,Muya - Bagdarin,Let 410UVP Turolet,CCCP67518,851422,17.0,17.0,0.0,Crashed into a mountain during descent  in poor weather.,,,1988
3767,3767,3767,05/24/1988,12:55,"New Orleans, Louisiana",TACA,,"Belize City, Belize - New Orleans, LA",Boeing B-737-3T0,N75356,23838,45.0,0.0,0.0,The aircraft encountered heavy rain and hail which resulted in flame-out of both engines. Attempts to restart engines were unsuccessful. The aircraft landed safely in a grassy field between a drainage ditch and levee with no power. Water ingestion due to heavy rain from a level 4 thunderstorm caused failure of both engines. A contributing cause of the incident was the inadequate design of the engines and the FAA water ingestion certification standards which did not reflect the waterfall rates that can be expected in moderate or higher intensity thunderstorms.,29.949932,-90.070116,1988
3772,3772,3772,06/12/1988,09:23,"Posadas, Argentina",Austral Lineas Aeras (Argentina),,Resistencia - Posadas,McDonnell Douglas MD-81,N1003G,48050/989,22.0,22.0,0.0,The airliner crashed 3 miles short of the runway in poor visibility. Crew's overconfidence and  incorrect in-flight planning.,-27.398264,-55.924016,1988
3774,3774,3774,06/26/1988,14:45,"Habsheim, France",Air France,296Q,Basel - Basel,Airbus A320-111,F-GFKC,009,136.0,3.0,0.0,"The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatigo-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.",47.728657,7.416475,1988
3777,3777,3777,07/20/1988,19:25,"Golden Meadow, Louisiana",TACA,,El Salvador - New Orleans,Douglas C-118A,N33VX,44615/541,3.0,3.0,0.0,The cargo plane ran out of fuel and crashed into a dirt bank . Fuel starvaion. Open drain valve inside the No. 4 engine led to the loss of fuel.,29.379111,-90.260079,1988
3786,3786,3786,08/26/1988,23:20,"Irkutsk, Russia",Aeroflot,,Kirensk - Irkutsk,Let 410MU,CCCP-67235,770801,4.0,4.0,0.0,"The crew failed to set the altimeters to the proper setting while landing. The plane descended until it contacted trees, broke up and caught fire. Crew fatigue was a factor.",52.289597,104.280586,1988
3788,3788,3788,08/31/1988,09:19,"Kowloon Bay, Hong Kong",CAAC,301,Guangzhou - Hong Kong,Hawker Siddeley HS-121 Trident 2E,B-2218,2159,89.0,7.0,0.0,The right outboard flap of the plane hit the approach lights of Runway 31. The right main landing gear collapsed and the aircraft ran off the runway into the harbor.,22.323467,114.214068,1988
3791,3791,3791,08/31/1988,09:01,"Dallas, Texas",Delta Air Lines,1141,"Dallas/Fort Worth, TX - Salt Lake City, UT",Boeing B-727-232 Adv,N473DA,20750/992,108.0,14.0,0.0,"The aircraft stalled and crashed during takeoff, hitting a ILS localizer antenna, 1,000 feet beyond the end of the runway. Crew error. Improperly set flaps and slats. Failure of the takeoff safety warning system.",32.776272,-96.796856,1988
3796,3796,3796,09/15/1988,13:05,"Bahar Dar, Ethiopia",Ethiopian Airlines,604,Bahar Dar - Asmara,Boeing B-737-230,ET-AJA,23914/1456,104.0,35.0,0.0,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.",11.594798,37.387978,1988
3797,3797,3797,09/19/1988,20:30,"Near Miram, Pakistan",Military - Afghan Republican Air Force,,,Antonov AN-26,,,34.0,34.0,0.0,Accidentally shot down by Pakistani anti-aircraft fire after straying out of Afghan air space.,33.00059,70.07117,1988
3798,3798,3798,10/11/1988,14:20,"Wurtsmith AFB, Michigan",Military - U.S. Air Force,,Sawyer AFB - Wurtsmith AFB,Boeing KC-135A,60-0317,18092/431,17.0,6.0,0.0,Crashed after returning from Sawyer AFB in Michigan.,44.25029,-85.50033,1988
3802,3802,3802,10/19/1988,07:00,"Near Ahmedabad, India",Indian Airlines,113,Bombay - Ahmadabad,Boeing B-737-2A8,VT-EAH,20481/271,129.0,124.0,0.0,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames.",23.021624,72.579707,1988
3810,3810,3810,12/07/1988,19:33,"Kodinsk, Russia",Aeroflot,,,Let 410UVP,CCCP-67127,790323,14.0,6.0,0.0,The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.,58.596329,99.182915,1988
3812,3812,3812,12/10/1988,20:00,Afghanistan,Military - Afghan Republican Air Force,,Kabul - Khowst,Antonov AN-32,,,25.0,25.0,0.0,Shot down by a Pakistani jet fighter while en route.,33.768006,66.238514,1988
3816,3816,3816,12/21/1988,19:03,"Lockerbie, Scotland",Pan American World Airways,103,London - New York City,Boeing B-747-121A,N739PA,19646/15,259.0,259.0,11.0,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named 'Clipper Maid of the Seas.'",55.127432,-3.35427,1988
3822,3822,3822,01/31/1989,12:10,"Near Abilene, Texas",Military - U.S. Air Force,,,Boeing KC-135A,63-7990,18607,19.0,19.0,0.0,Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.,32.44645,-99.747591,1989
3827,3827,3827,02/19/1989,06:36,"Near Kuala Lumpur, Malaysia",Flying Tiger Line,,Singapore - Kuala Lumpur,Boeing 747-249F,N807FT,21828/408,4.0,4.0,0.0,"The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions.",3.151696,101.694237,1989
3829,3829,3829,02/24/1989,02:09,"Honolulu, Hawaii",United Air Lines,811,Los Angeles - Honolulu - Auckland - Sidney,Boeing B-747-122,N4713U,19875/89,356.0,9.0,0.0,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched foward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff.",21.304547,-157.855676,1989
3835,3835,3835,03/20/1989,07:00,"Pohang, South Korea",Military - U.S. Marine Corps,,,Sikorsky CH-53D,157140,,34.0,19.0,0.0,Crashed and burned in mountainous terrain during a troop lift mission. Came in for a landing at an extreme high bank until it crashed to the ground. Pilot error.,36.018932,129.342938,1989
3848,3848,3848,06/18/1989,13:20,"Zabol, Iran",Ariana Afghan Airlines,,Kabul - Zaranj,Antonov AN-26,YA-BAK,14104,39.0,6.0,0.0,A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.,31.027778,61.494821,1989
3849,3849,3849,06/22/1989,17:40,"Near Tarma, Peru",Fuerza Aérea del Peru,,San Ramon - Captain Alvarino,de Havilland Canada DHC-5D Buffalo,FAP-329,329,62.0,62.0,0.0,Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.,-11.419988,-75.687714,1989
3855,3855,3855,07/19/1989,16:00,"Sioux City, Iowa",United Air Lines,232,"Denver, CO - Chicago, IL",McDonnell Douglas DC-10-10,N1819U,46618,298.0,112.0,0.0,"Catastrophifailure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage.The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulisystems. Subject of the 1992 TV-movie 'Crash Landing: The Rescue of Flight 232.'",42.496682,-96.405878,1989
3856,3856,3856,07/19/1989,11:02,"Talourow Island, USSR",Aeroflot,,Observation flight out of Cape Schmidt,Antonov AN-26,CCCP-26685,8805,10.0,10.0,0.0,Crashed into costal cliffs while on an ice observation flight.,,,1989
3858,3858,3858,07/21/1989,15:23,"Manila, Philippines",Philippine Air Lines,,Zamboanga - Manila,BAC One-Eleven 516FP,RP-C1193,231,98.0,1.0,8.0,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",14.590733,120.980967,1989
3861,3861,3861,07/27/1989,07:00,"Tripoli, Libya",Korean Airlines,803,Jeddah - Tripoli,McDonnell Douglas DC-10-30,HL-7328,47887/125,199.0,75.0,4.0,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.,32.896672,13.177792,1989
3867,3867,3867,08/13/1989,21:25,"Janice, Mississippi",Private,,"Hattiesburg, MS - Gulfport, MS",Cessna 177RG,N1976Q,177RG-0376,2.0,2.0,0.0,"The aircraft was flying from Hattiesburg to Gulfport. The non-instrument rated pilot lost control of the aircraft after encountering instrument meteorological conditions resulting in the airplane spiraling into the ground in a wooded area.  U.S. Representative from Mississippi, Larkin Smith, 45, was killed.",31.025464,-89.036717,1989
3869,3869,3869,08/21/1989,12:50,"Gold Beach, Oregon",Air Taxi,,"Medford, OR - Medford, OR",Beechcraft C90,N25ST,LJ507,3.0,3.0,0.0,"The aircraft emerged out of a fog bank while attempting to land, banked to the left and crashed. The pilot's failure to initiate a go-around after emerging from a fog bank on a short final which resulted in inadequate airspeed and a stall. Contributing to the accident was the pilot's poor judgement in attempting the VFR approach in IMC conditions.",42.407446,-124.421742,1989
